fiscal_year,month,category,budget_qty,budget_price,budget_revenue
FY2025-26,1,Accessories,669,417.4,279240.6
FY2025-26,1,Cotton Saree,989,1413.75,1398198.75
FY2025-26,1,Fancy Saree,852,3155.28,2688298.56
FY2025-26,1,Kids Wear,492,968.82,476659.44
FY2025-26,1,Readymade,668,2200.11,1469673.48
FY2025-26,1,Silk Saree,366,12291.5,4498689.0
FY2025-26,2,Accessories,371,423.4,157081.4
FY2025-26,2,Cotton Saree,582,1431.57,833173.74
FY2025-26,2,Fancy Saree,535,3186.73,1704900.55
FY2025-26,2,Kids Wear,274,994.13,272391.62
FY2025-26,2,Readymade,456,2201.57,1003915.92
FY2025-26,2,Silk Saree,235,12912.21,3034369.35
FY2025-26,3,Accessories,449,415.44,186532.56
FY2025-26,3,Cotton Saree,746,1416.97,1057059.62
FY2025-26,3,Fancy Saree,599,3183.91,1907162.09
FY2025-26,3,Kids Wear,339,964.06,326816.34
FY2025-26,3,Readymade,483,2201.59,1063367.97
FY2025-26,3,Silk Saree,261,12618.15,3293337.15
FY2025-26,4,Accessories,446,421.58,188024.68
FY2025-26,4,Cotton Saree,735,1437.86,1056827.1
FY2025-26,4,Fancy Saree,711,3166.86,2251637.46
FY2025-26,4,Kids Wear,318,958.5,304803.0
FY2025-26,4,Readymade,560,2254.93,1262760.8
FY2025-26,4,Silk Saree,320,12680.25,4057680.0
FY2025-26,5,Accessories,416,420.89,175090.24
FY2025-26,5,Cotton Saree,759,1445.52,1097149.68
FY2025-26,5,Fancy Saree,778,3086.14,2401016.92
FY2025-26,5,Kids Wear,319,980.52,312785.88
FY2025-26,5,Readymade,514,2243.57,1153194.98
FY2025-26,5,Silk Saree,304,12660.27,3848722.08
FY2025-26,6,Accessories,377,414.34,156206.18
FY2025-26,6,Cotton Saree,622,1415.71,880571.62
FY2025-26,6,Fancy Saree,524,3108.99,1629110.76
FY2025-26,6,Kids Wear,271,932.43,252688.53
FY2025-26,6,Readymade,416,2237.23,930687.68
FY2025-26,6,Silk Saree,216,12319.52,2661016.32
FY2025-26,7,Accessories,246,414.13,101875.98
FY2025-26,7,Cotton Saree,401,1490.19,597566.19
FY2025-26,7,Fancy Saree,335,3193.44,1069802.4
FY2025-26,7,Kids Wear,167,973.06,162501.02
FY2025-26,7,Readymade,262,2148.46,562896.52
FY2025-26,7,Silk Saree,190,12694.67,2411987.3
FY2025-26,8,Accessories,320,424.94,135980.8
FY2025-26,8,Cotton Saree,402,1471.05,591362.1
FY2025-26,8,Fancy Saree,349,3089.28,1078158.72
FY2025-26,8,Kids Wear,213,963.5,205225.5
FY2025-26,8,Readymade,298,2201.53,656055.94
FY2025-26,8,Silk Saree,122,12635.32,1541509.04
FY2025-26,9,Accessories,478,416.45,199063.1
FY2025-26,9,Cotton Saree,681,1446.57,985114.17
FY2025-26,9,Fancy Saree,585,3093.24,1809545.4
FY2025-26,9,Kids Wear,355,967.78,343561.9
FY2025-26,9,Readymade,542,2322.44,1258762.48
FY2025-26,9,Silk Saree,274,12962.63,3551760.62
FY2025-26,10,Accessories,665,398.78,265188.7
FY2025-26,10,Cotton Saree,1009,1407.44,1420106.96
FY2025-26,10,Fancy Saree,1072,3017.57,3234835.04
FY2025-26,10,Kids Wear,456,934.88,426305.28
FY2025-26,10,Readymade,778,2157.8,1678768.4
FY2025-26,10,Silk Saree,473,12266.13,5801879.49
FY2025-26,11,Accessories,627,400.07,250843.89
FY2025-26,11,Cotton Saree,907,1394.81,1265092.67
FY2025-26,11,Fancy Saree,903,3042.18,2747088.54
FY2025-26,11,Kids Wear,430,931.53,400557.9
FY2025-26,11,Readymade,665,2094.92,1393121.8
FY2025-26,11,Silk Saree,431,12225.61,5269237.91
FY2025-26,12,Accessories,525,422.8,221970.0
FY2025-26,12,Cotton Saree,782,1426.74,1115710.68
FY2025-26,12,Fancy Saree,650,3091.27,2009325.5
FY2025-26,12,Kids Wear,353,983.52,347182.56
FY2025-26,12,Readymade,591,2204.96,1303131.36
FY2025-26,12,Silk Saree,315,12345.44,3888813.6
