transaction_id,transaction_date,store_id,customer_id,category,channel,quantity,unit_price,discount_pct,net_amount,cogs
T0000001,2024-04-01,ST01,C01908,Silk Saree,Walk-in,1,11786.9,0.0,11786.9,8958.04
T0000002,2024-04-01,ST01,C00778,Silk Saree,Walk-in,1,11006.89,0.0,11006.89,8365.24
T0000003,2024-04-01,ST01,C02580,Fancy Saree,Walk-in,1,3566.8,0.0,3566.8,2354.09
T0000004,2024-04-01,ST01,C02207,Fancy Saree,Exhibition Stall,1,3892.06,0.068,3627.4,2394.08
T0000005,2024-04-01,ST01,C00172,Fancy Saree,WhatsApp Order,1,2967.72,0.0,2967.72,1958.7
T0000006,2024-04-01,ST01,C00646,Fancy Saree,Exhibition Stall,1,3012.49,0.146,2572.67,1697.96
T0000007,2024-04-01,ST01,C00991,Fancy Saree,Exhibition Stall,1,3767.13,0.055,3559.94,2349.56
T0000008,2024-04-01,ST01,C00801,Fancy Saree,Exhibition Stall,1,2366.69,0.127,2066.12,1363.64
T0000009,2024-04-01,ST01,C02048,Fancy Saree,Walk-in,1,1787.05,0.0,1787.05,1179.45
T0000010,2024-04-01,ST01,C01140,Fancy Saree,Walk-in,1,3505.48,0.0,3505.48,2313.62
T0000011,2024-04-01,ST01,C00341,Cotton Saree,Walk-in,1,1596.3,0.0,1596.3,1101.45
T0000012,2024-04-01,ST01,C00288,Cotton Saree,Exhibition Stall,1,1722.55,0.088,1570.97,1083.97
T0000013,2024-04-01,ST01,C00274,Cotton Saree,Exhibition Stall,1,1336.0,0.088,1218.43,840.72
T0000014,2024-04-01,ST01,C00003,Cotton Saree,Online,1,1656.97,0.0,1656.97,1143.31
T0000015,2024-04-01,ST01,C01926,Cotton Saree,Walk-in,2,1846.29,0.0,3692.59,2547.89
T0000016,2024-04-01,ST01,C01720,Cotton Saree,Walk-in,1,1371.36,0.0,1371.36,946.24
T0000017,2024-04-01,ST01,C01106,Cotton Saree,Walk-in,1,1140.86,0.0,1140.86,787.19
T0000018,2024-04-01,ST01,C00063,Cotton Saree,Walk-in,1,1582.11,0.0,1582.11,1091.66
T0000019,2024-04-01,ST01,C00484,Cotton Saree,Online,1,1544.07,0.0,1544.07,1065.41
T0000020,2024-04-01,ST01,C00045,Readymade,Walk-in,1,2619.46,0.0,2619.46,1624.07
T0000021,2024-04-01,ST01,C00728,Readymade,Walk-in,1,1732.85,0.0,1732.85,1074.37
T0000022,2024-04-01,ST01,C00537,Readymade,Exhibition Stall,1,3219.95,0.0,3219.95,1996.37
T0000023,2024-04-01,ST01,C01618,Readymade,Walk-in,1,2825.35,0.0,2825.35,1751.72
T0000024,2024-04-01,ST01,C01106,Readymade,Walk-in,1,2689.16,0.0,2689.16,1667.28
T0000025,2024-04-01,ST01,C00081,Kids Wear,WhatsApp Order,3,1151.9,0.0,3455.7,2038.86
T0000026,2024-04-01,ST01,C02466,Kids Wear,Walk-in,1,1148.78,0.0,1148.78,677.78
T0000027,2024-04-01,ST01,C00874,Accessories,Exhibition Stall,1,545.04,0.0,545.04,294.32
T0000028,2024-04-01,ST01,C02500,Accessories,Walk-in,1,349.75,0.0,349.75,188.87
T0000029,2024-04-01,ST02,C00301,Silk Saree,Walk-in,1,9820.71,0.0,9820.71,7463.74
T0000030,2024-04-01,ST02,C00996,Silk Saree,Walk-in,1,14835.23,0.0,14835.23,11274.77
T0000031,2024-04-01,ST02,C02549,Fancy Saree,Walk-in,1,2989.78,0.0,2989.78,1973.25
T0000032,2024-04-01,ST02,C02354,Fancy Saree,Walk-in,3,3718.76,0.0,11156.28,7363.14
T0000033,2024-04-01,ST02,C02570,Fancy Saree,Walk-in,1,4283.78,0.0,4283.78,2827.29
T0000034,2024-04-01,ST02,C00778,Fancy Saree,Walk-in,2,4762.06,0.0,9524.12,6285.92
T0000035,2024-04-01,ST02,C02269,Cotton Saree,Walk-in,1,1944.71,0.0,1944.71,1341.85
T0000036,2024-04-01,ST02,C02473,Cotton Saree,Walk-in,3,842.13,0.0,2526.38,1743.2
T0000037,2024-04-01,ST02,C00447,Cotton Saree,Walk-in,1,1335.04,0.0,1335.04,921.18
T0000038,2024-04-01,ST02,C01605,Cotton Saree,Walk-in,2,952.5,0.0,1905.0,1314.45
T0000039,2024-04-01,ST02,C02444,Cotton Saree,Walk-in,1,1542.74,0.0,1542.74,1064.49
T0000040,2024-04-01,ST02,C00282,Cotton Saree,Walk-in,1,2025.46,0.0,2025.46,1397.57
T0000041,2024-04-01,ST02,C02523,Cotton Saree,Walk-in,1,2218.95,0.0,2218.95,1531.08
T0000042,2024-04-01,ST02,C00836,Readymade,Exhibition Stall,1,2107.38,0.0,2107.38,1306.58
T0000043,2024-04-01,ST02,C00191,Readymade,Exhibition Stall,1,1735.87,0.082,1593.53,987.99
T0000044,2024-04-01,ST02,C02344,Readymade,Walk-in,1,2521.08,0.0,2521.08,1563.07
T0000045,2024-04-01,ST02,C00567,Readymade,Online,1,2465.52,0.0,2465.52,1528.62
T0000046,2024-04-01,ST02,C02417,Readymade,WhatsApp Order,2,2184.91,0.0,4369.82,2709.29
T0000047,2024-04-01,ST02,C01465,Readymade,Walk-in,1,2094.82,0.0,2094.82,1298.79
T0000048,2024-04-01,ST02,C00307,Readymade,Exhibition Stall,2,1350.56,0.0,2701.12,1674.69
T0000049,2024-04-01,ST02,C01307,Kids Wear,Walk-in,1,576.88,0.0,576.88,340.36
T0000050,2024-04-01,ST02,C01856,Kids Wear,Walk-in,1,1353.64,0.0,1353.64,798.65
T0000051,2024-04-01,ST02,C00531,Accessories,Walk-in,1,189.0,0.0,189.0,102.06
T0000052,2024-04-01,ST02,C00348,Accessories,WhatsApp Order,3,631.81,0.0,1895.44,1023.54
T0000053,2024-04-01,ST02,C00124,Accessories,Exhibition Stall,3,831.12,0.0,2493.37,1346.42
T0000054,2024-04-02,ST01,C02560,Silk Saree,WhatsApp Order,1,9976.83,0.0,9976.83,7582.39
T0000055,2024-04-02,ST01,C00372,Fancy Saree,Exhibition Stall,1,1845.05,0.059,1736.19,1145.89
T0000056,2024-04-02,ST01,C01592,Fancy Saree,Exhibition Stall,3,3866.32,0.0,11598.97,7655.32
T0000057,2024-04-02,ST01,C01875,Fancy Saree,Online,1,2618.87,0.0,2618.87,1728.45
T0000058,2024-04-02,ST01,C00344,Fancy Saree,Walk-in,1,3671.92,0.0,3671.92,2423.47
T0000059,2024-04-02,ST01,C01271,Fancy Saree,Walk-in,1,3638.11,0.0,3638.11,2401.15
T0000060,2024-04-02,ST01,C02037,Fancy Saree,Exhibition Stall,1,4340.05,0.141,3728.1,2460.55
T0000061,2024-04-02,ST01,C01992,Fancy Saree,WhatsApp Order,1,3880.67,0.0,3880.67,2561.24
T0000062,2024-04-02,ST01,C01234,Fancy Saree,Walk-in,1,4065.29,0.0,4065.29,2683.09
T0000063,2024-04-02,ST01,C02124,Cotton Saree,Walk-in,1,1321.22,0.0,1321.22,911.64
T0000064,2024-04-02,ST01,C02042,Cotton Saree,Walk-in,3,719.0,0.0,2157.0,1488.33
