fiscal_year,year,month,month_name,season,store_name,category,price_band,channel,bills,units,revenue,gross_margin
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Accessories,Value,Exhibition Stall,50,57,23602.26,10857.03
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Accessories,Value,Online,16,19,7575.06,3484.52
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Accessories,Value,Walk-in,113,132,54292.23,24974.38
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Accessories,Value,WhatsApp Order,27,31,13196.25,6070.28
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,70,81,110853.98,34364.73
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Cotton Saree,Value,Online,25,27,36727.6,11385.54
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Cotton Saree,Value,Walk-in,160,201,294786.05,91383.68
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,61,68,99695.91,30905.76
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,64,68,212191.54,72145.14
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Fancy Saree,Mid,Online,22,25,83521.51,28397.33
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Fancy Saree,Mid,Walk-in,157,193,623843.77,212106.91
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,56,67,223110.93,75857.69
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Kids Wear,Value,Exhibition Stall,31,40,33800.44,13858.18
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Kids Wear,Value,Online,9,10,9069.88,3718.66
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Kids Wear,Value,Walk-in,82,96,92629.97,37978.28
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Kids Wear,Value,WhatsApp Order,29,36,36692.34,15043.86
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Readymade,Mid,Exhibition Stall,36,43,91245.8,34673.4
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Readymade,Mid,Online,21,25,62718.02,23832.82
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Readymade,Mid,Walk-in,122,150,341251.42,129675.59
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Readymade,Mid,WhatsApp Order,41,54,125110.7,47542.07
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,32,40,474176.91,113802.45
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Silk Saree,Premium,Online,11,12,147186.1,35324.65
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Silk Saree,Premium,Walk-in,80,95,1227334.18,294560.24
FY2024-25,2024,4,April,Wedding,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,23,26,326203.27,78288.8
FY2024-25,2024,4,April,Wedding,RS Puram,Accessories,Value,Exhibition Stall,29,34,15006.09,6902.81
FY2024-25,2024,4,April,Wedding,RS Puram,Accessories,Value,Online,9,9,3329.42,1531.54
FY2024-25,2024,4,April,Wedding,RS Puram,Accessories,Value,Walk-in,85,92,39247.57,18053.91
FY2024-25,2024,4,April,Wedding,RS Puram,Accessories,Value,WhatsApp Order,21,24,11540.39,5308.58
FY2024-25,2024,4,April,Wedding,RS Puram,Cotton Saree,Value,Exhibition Stall,45,56,75593.62,23434.04
FY2024-25,2024,4,April,Wedding,RS Puram,Cotton Saree,Value,Online,14,15,22946.02,7113.28
FY2024-25,2024,4,April,Wedding,RS Puram,Cotton Saree,Value,Walk-in,136,172,250753.71,77733.62
FY2024-25,2024,4,April,Wedding,RS Puram,Cotton Saree,Value,WhatsApp Order,28,36,51877.55,16082.07
FY2024-25,2024,4,April,Wedding,RS Puram,Fancy Saree,Mid,Exhibition Stall,46,55,159064.72,54082.03
FY2024-25,2024,4,April,Wedding,RS Puram,Fancy Saree,Mid,Online,18,21,63114.23,21458.86
FY2024-25,2024,4,April,Wedding,RS Puram,Fancy Saree,Mid,Walk-in,124,148,467060.33,158800.52
FY2024-25,2024,4,April,Wedding,RS Puram,Fancy Saree,Mid,WhatsApp Order,44,58,179048.72,60876.59
FY2024-25,2024,4,April,Wedding,RS Puram,Kids Wear,Value,Exhibition Stall,14,21,19503.55,7996.46
FY2024-25,2024,4,April,Wedding,RS Puram,Kids Wear,Value,Online,5,6,6367.22,2610.56
FY2024-25,2024,4,April,Wedding,RS Puram,Kids Wear,Value,Walk-in,51,55,55615.66,22802.42
FY2024-25,2024,4,April,Wedding,RS Puram,Kids Wear,Value,WhatsApp Order,16,20,18534.03,7598.96
FY2024-25,2024,4,April,Wedding,RS Puram,Readymade,Mid,Exhibition Stall,47,60,120417.63,45758.69
FY2024-25,2024,4,April,Wedding,RS Puram,Readymade,Mid,Online,17,20,44301.61,16834.58
FY2024-25,2024,4,April,Wedding,RS Puram,Readymade,Mid,Walk-in,94,110,253347.29,96271.98
FY2024-25,2024,4,April,Wedding,RS Puram,Readymade,Mid,WhatsApp Order,30,38,89070.57,33846.82
FY2024-25,2024,4,April,Wedding,RS Puram,Silk Saree,Premium,Exhibition Stall,18,20,249006.1,59761.47
