fiscal_year,year,month,month_name,season,bills,customers,units,revenue,gross_margin,gm_pct,avg_bill_value,avg_discount_pct
FY2024-25,2024,4,April,Wedding,2306,1518,2759,8148208.18,2463726.87,30.24,3533.48,1.18
FY2024-25,2024,5,May,Wedding,2258,1516,2759,8021258.31,2434223.97,30.35,3552.37,1.28
FY2024-25,2024,6,June,Lean,1775,1276,2166,5813690.33,1781068.17,30.64,3275.32,1.22
FY2024-25,2024,7,July,Aadi,1186,957,1430,4385257.76,1300365.16,29.65,3697.52,1.04
FY2024-25,2024,8,August,Aadi,1272,1023,1522,3759418.9,1175457.02,31.27,2955.52,1.26
FY2024-25,2024,9,September,Pre-festive,2169,1484,2603,7278702.76,2218565.79,30.48,3355.79,1.13
FY2024-25,2024,10,October,Deepavali,3281,1873,3976,11449258.87,3452120.49,30.15,3489.56,4.03
FY2024-25,2024,11,November,Deepavali,2962,1782,3539,10114781.34,3036145.54,30.02,3414.85,4.03
FY2024-25,2024,12,December,Year-end,2374,1568,2871,7930192.2,2411533.39,30.41,3340.43,1.15
FY2024-25,2025,1,January,Pongal,3004,1774,3603,9654585.02,2955301.43,30.61,3213.91,1.19
FY2024-25,2025,2,February,Post-Pongal,1819,1277,2191,6258986.73,1904274.63,30.42,3440.89,0.93
FY2024-25,2025,3,March,Lean,2065,1444,2569,6994714.93,2134283.4,30.51,3387.27,1.08
FY2025-26,2025,4,April,Wedding,2720,1682,3276,9615588.08,2905127.03,30.21,3535.14,1.12
FY2025-26,2025,5,May,Wedding,2679,1672,3238,9499020.03,2896278.22,30.49,3545.73,1.07
FY2025-26,2025,6,June,Lean,1873,1350,2270,5997623.96,1862698.16,31.06,3202.15,1.11
FY2025-26,2025,7,July,Aadi,1332,1059,1594,4330993.89,1315593.68,30.38,3251.5,1.09
FY2025-26,2025,8,August,Aadi,1472,1132,1811,5146837.05,1564848.86,30.4,3496.49,1.11
FY2025-26,2025,9,September,Pre-festive,2171,1478,2637,7455777.93,2269396.31,30.44,3434.26,1.06
FY2025-26,2025,10,October,Deepavali,3824,2012,4662,12910925.08,3916839.22,30.34,3376.29,3.94
FY2025-26,2025,11,November,Deepavali,3294,1880,3954,11271023.25,3395418.01,30.13,3421.68,4.15
FY2025-26,2025,12,December,Year-end,2308,1552,2769,7915357.17,2410444.22,30.45,3429.53,1.11
FY2025-26,2026,1,January,Pongal,3208,1831,3866,10714586.9,3279016.33,30.6,3339.96,1.17
FY2025-26,2026,2,February,Post-Pongal,1936,1342,2330,6248374.07,1922245.75,30.76,3227.47,1.18
FY2025-26,2026,3,March,Lean,2409,1537,2861,7966938.84,2419385.73,30.37,3307.16,1.14
