customer_id,last_purchase,first_purchase,frequency,monetary,recency_days,tenure_days,avg_gap_days,expected_gap,overdue_ratio,R,F,M,rfm_score,avg_order_value,segment
C02481,2026-02-28,2024-04-10,31,220778.53,31,720,24.0,24.0,1.29,3,5,5,13,7121.89,"Big spender, low frequency - upsell events"
C02382,2026-03-28,2024-05-24,32,200250.32,3,676,21.806451612903224,21.806451612903224,0.14,5,5,5,15,6257.82,Champions - protect
C01853,2026-02-27,2024-05-28,28,190176.86,32,672,24.88888888888889,24.88888888888889,1.29,2,5,5,12,6792.03,Loyal but slipping - reactivate
C01164,2026-03-23,2024-04-12,35,188547.44,8,718,21.11764705882353,21.11764705882353,0.38,4,5,5,14,5387.07,Champions - protect
C02269,2026-03-27,2024-04-01,25,181199.84,4,729,30.375,30.375,0.13,5,5,5,15,7247.99,Champions - protect
C01584,2026-01-21,2024-05-05,32,180234.36000000002,69,695,22.419354838709676,22.419354838709676,3.08,1,5,5,11,5632.32,"High value, overdue - call them"
C01748,2026-03-14,2024-06-02,30,177832.39,17,667,23.0,23.0,0.74,3,5,5,13,5927.75,"Big spender, low frequency - upsell events"
C00784,2026-03-27,2024-05-12,35,177455.37,4,688,20.235294117647058,20.235294117647058,0.2,5,5,5,15,5070.15,Champions - protect
C00214,2025-12-05,2024-04-04,29,171117.66,116,726,25.928571428571427,25.928571428571427,4.47,1,5,5,11,5900.61,"High value, overdue - call them"
C01965,2026-03-29,2024-04-14,24,167557.03,2,716,31.130434782608695,31.130434782608695,0.06,5,4,5,14,6981.54,Champions - protect
C00847,2026-02-18,2024-04-05,25,165214.77,41,725,30.208333333333332,30.208333333333332,1.36,2,4,5,11,6608.59,Loyal but slipping - reactivate
C02484,2026-01-31,2024-04-15,22,165002.39,59,715,34.04761904761905,34.04761904761905,1.73,1,4,5,10,7500.11,Loyal but slipping - reactivate
C01919,2026-03-29,2024-04-12,22,162289.6,2,718,34.19047619047619,34.19047619047619,0.06,5,3,5,13,7376.8,"Big spender, low frequency - upsell events"
C00761,2026-03-24,2024-04-14,31,161693.84,7,716,23.866666666666667,23.866666666666667,0.29,4,5,5,14,5215.93,Champions - protect
C00554,2026-03-16,2024-06-10,35,161608.38999999998,15,659,19.38235294117647,19.38235294117647,0.77,4,5,5,14,4617.38,Champions - protect
C01649,2026-03-29,2024-05-18,24,160621.97,2,682,29.652173913043477,29.652173913043477,0.07,5,4,5,14,6692.58,Champions - protect
C02560,2026-01-02,2024-04-02,27,160134.08,88,728,28.0,28.0,3.14,1,5,5,11,5930.89,"High value, overdue - call them"
C01547,2026-03-27,2024-04-10,36,157525.01,4,720,20.571428571428573,20.571428571428573,0.19,5,5,5,15,4375.69,Champions - protect
C00995,2026-03-30,2024-07-20,26,155248.82,1,619,24.76,24.76,0.04,5,5,5,15,5971.11,Champions - protect
C01063,2026-03-13,2024-04-05,25,154836.6,18,725,30.208333333333332,30.208333333333332,0.6,3,4,5,12,6193.46,"Big spender, low frequency - upsell events"
C01356,2026-02-28,2024-05-23,20,154257.66,31,677,35.63157894736842,35.63157894736842,0.87,3,2,5,10,7712.88,"Big spender, low frequency - upsell events"
C02469,2026-03-22,2024-04-28,28,153841.17,9,702,26.0,26.0,0.35,4,5,5,14,5494.33,Champions - protect
C00515,2026-01-28,2024-05-30,31,153530.92,62,670,22.333333333333332,22.333333333333332,2.78,1,5,5,11,4952.61,"High value, overdue - call them"
C01025,2026-02-15,2024-06-24,29,153470.52,44,645,23.035714285714285,23.035714285714285,1.91,2,5,5,12,5292.09,Loyal but slipping - reactivate
C01401,2026-03-25,2024-04-24,35,152861.45,6,706,20.764705882352942,20.764705882352942,0.29,5,5,5,15,4367.47,Champions - protect
C02498,2026-02-07,2024-04-20,27,152554.13,52,710,27.307692307692307,27.307692307692307,1.9,2,5,5,12,5650.15,Loyal but slipping - reactivate
C01895,2026-03-21,2024-04-25,20,151364.83,10,705,37.10526315789474,37.10526315789474,0.27,4,3,5,12,7568.24,"Big spender, low frequency - upsell events"
C02272,2026-03-30,2024-04-18,24,151097.66999999998,1,712,30.956521739130434,30.956521739130434,0.03,5,4,5,14,6295.74,Champions - protect
C00482,2025-11-25,2024-05-03,19,150859.74,126,697,38.72222222222222,38.72222222222222,3.25,1,2,5,8,7939.99,"High value, overdue - call them"
C02287,2026-01-25,2024-04-07,32,149430.65,65,723,23.322580645161292,23.322580645161292,2.79,1,5,5,11,4669.71,"High value, overdue - call them"
C01478,2026-02-23,2024-04-18,21,148715.38999999998,36,712,35.6,35.6,1.01,2,3,5,10,7081.69,"Big spender, low frequency - upsell events"
C00447,2026-02-15,2024-04-01,27,148256.54,44,729,28.03846153846154,28.03846153846154,1.57,2,5,5,12,5490.98,Loyal but slipping - reactivate
